date,time,low,high,open,close,volume
2018-08-20 14:00:00,1534773600,6426.99,6464.22,6440.01,6450.0,260.3818021199995
2018-08-20 13:00:00,1534770000,6400.0,6450.83,6450.83,6440.01,346.3152332900003
2018-08-20 12:00:00,1534766400,6435.0,6478.37,6448.5,6450.82,226.20830027000088
2018-08-20 11:00:00,1534762800,6414.01,6456.14,6414.02,6448.51,137.8917564600007
2018-08-20 10:00:00,1534759200,6390.01,6419.41,6407.29,6414.01,124.67702677000028
2018-08-20 09:00:00,1534755600,6389.0,6446.47,6446.47,6407.29,337.3826828600012
2018-08-20 08:00:00,1534752000,6435.55,6469.11,6462.26,6446.46,213.4032803900013
2018-08-20 07:00:00,1534748400,6429.75,6462.26,6436.08,6462.26,86.53229969000027
2018-08-20 06:00:00,1534744800,6429.01,6479.95,6471.37,6436.08,369.9928649299998
2018-08-20 05:00:00,1534741200,6455.22,6475.27,6461.11,6471.36,115.54422227999987
2018-08-20 04:00:00,1534737600,6452.61,6493.01,6493.0,6461.11,268.1546806399992
2018-08-20 03:00:00,1534734000,6483.99,6499.0,6498.27,6493.0,103.8402496199997
2018-08-20 02:00:00,1534730400,6495.3,6525.0,6515.69,6497.02,216.6445917500014
2018-08-20 01:00:00,1534726800,6500.0,6515.69,6513.86,6515.69,149.5711180299998
2018-08-20 00:00:00,1534723200,6485.67,6515.0,6489.53,6513.94,237.1246945400006
2018-08-19 23:00:00,1534719600,6482.08,6530.0,6523.99,6489.53,168.90406958000068
2018-08-19 22:00:00,1534716000,6487.0,6524.0,6501.0,6523.99,285.9474335600006
2018-08-19 21:00:00,1534712400,6501.0,6547.34,6534.0,6501.01,486.30437388000325
2018-08-19 20:00:00,1534708800,6368.24,6543.99,6384.6,6534.0,656.9801906399979
2018-08-19 19:00:00,1534705200,6365.1,6396.54,6373.65,6384.6,148.51694707000004
2018-08-19 18:00:00,1534701600,6350.0,6380.06,6360.0,6373.65,130.8115526400009
2018-08-19 17:00:00,1534698000,6349.0,6397.59,6388.68,6360.0,269.24019748999973
2018-08-19 16:00:00,1534694400,6360.0,6413.61,6411.74,6388.67,203.62335588000042
2018-08-19 15:00:00,1534690800,6389.0,6430.0,6428.17,6411.91,228.98186866000026
2018-08-19 14:00:00,1534687200,6410.0,6465.0,6449.0,6428.17,230.75582800000092
2018-08-19 13:00:00,1534683600,6417.69,6452.34,6421.01,6448.99,153.9195413900004
2018-08-19 12:00:00,1534680000,6404.61,6429.99,6429.99,6421.0,90.64699526000004
2018-08-19 11:00:00,1534676400,6383.88,6449.16,6383.88,6430.0,168.03872709000018
2018-08-19 10:00:00,1534672800,6359.98,6383.89,6364.59,6383.89,78.77862039999991
2018-08-19 09:00:00,1534669200,6364.59,6392.15,6374.04,6364.59,60.42238746999973
2018-08-19 08:00:00,1534665600,6365.0,6374.05,6365.0,6374.05,32.240182879999786
2018-08-19 07:00:00,1534662000,6359.71,6368.64,6368.54,6365.0,53.94842117999968
2018-08-19 06:00:00,1534658400,6366.14,6398.49,6374.02,6368.53,67.5002656699998
2018-08-19 05:00:00,1534654800,6374.01,6393.08,6375.0,6374.01,98.78475463999992
2018-08-19 04:00:00,1534651200,6345.66,6379.34,6345.66,6375.0,83.27630884000014
2018-08-19 03:00:00,1534647600,6328.45,6371.26,6371.25,6345.67,254.53562030000026
2018-08-19 02:00:00,1534644000,6356.0,6371.26,6359.99,6371.26,100.64831009999985
2018-08-19 01:00:00,1534640400,6354.81,6385.0,6375.52,6359.99,143.21016720999972
2018-08-19 00:00:00,1534636800,6350.88,6396.63,6396.63,6375.51,276.16004721000104
2018-08-18 23:00:00,1534633200,6384.8,6425.0,6405.39,6396.64,259.36145264999936
2018-08-18 22:00:00,1534629600,6388.23,6448.96,6399.37,6405.39,640.7850541799933
2018-08-18 21:00:00,1534626000,6351.28,6423.98,6370.0,6399.37,275.48211213
2018-08-18 20:00:00,1534622400,6336.0,6370.5,6370.49,6370.0,225.35571925000042
2018-08-18 19:00:00,1534618800,6352.0,6372.5,6372.12,6370.49,185.58717233000075
2018-08-18 18:00:00,1534615200,6345.28,6376.41,6355.0,6372.12,244.19323481000112
2018-08-18 17:00:00,1534611600,6325.0,6355.0,6349.1,6354.99,175.7931245900003
2018-08-18 16:00:00,1534608000,6312.0,6370.0,6369.99,6349.09,323.88935276999865
2018-08-18 15:00:00,1534604400,6325.0,6370.0,6349.01,6370.0,252.55161534
2018-08-18 14:00:00,1534600800,6349.0,6390.78,6353.01,6349.01,266.9496719499999
2018-08-18 13:00:00,1534597200,6318.51,6479.75,6479.75,6353.0,1063.9586355999907
2018-08-18 12:00:00,1534593600,6473.3,6521.0,6508.51,6479.75,298.76095986
2018-08-18 11:00:00,1534590000,6500.0,6528.24,6512.1,6508.51,185.2462088100005
2018-08-18 10:00:00,1534586400,6510.03,6520.0,6512.0,6512.11,125.97294163000015
2018-08-18 09:00:00,1534582800,6504.93,6523.16,6504.93,6512.0,70.75736988999988
2018-08-18 08:00:00,1534579200,6488.0,6512.0,6488.01,6504.49,67.76147833000007
2018-08-18 07:00:00,1534575600,6476.85,6505.88,6490.0,6488.0,173.02087877999992
2018-08-18 06:00:00,1534572000,6490.0,6525.0,6523.01,6490.01,78.32251996000015
2018-08-18 05:00:00,1534568400,6510.49,6542.9,6531.23,6523.01,167.4475099300001
2018-08-18 04:00:00,1534564800,6530.0,6552.07,6533.0,6531.23,187.3186828200008
2018-08-18 03:00:00,1534561200,6478.3,6533.0,6507.57,6533.0,234.5319497699998
2018-08-18 02:00:00,1534557600,6507.57,6564.79,6539.54,6507.57,330.09457655999887
2018-08-18 01:00:00,1534554000,6521.61,6613.23,6605.0,6539.55,634.5211135299946
2018-08-18 00:00:00,1534550400,6563.7,6610.0,6585.5,6605.0,506.7785237999972
2018-08-17 23:00:00,1534546800,6533.32,6585.5,6569.21,6585.49,569.9064071399921
2018-08-17 22:00:00,1534543200,6502.97,6577.6,6523.0,6569.21,923.2580857499839
2018-08-17 21:00:00,1534539600,6479.99,6539.06,6480.0,6523.0,522.9836524099974
2018-08-17 20:00:00,1534536000,6443.89,6500.06,6500.06,6479.99,640.6051647699891
2018-08-17 19:00:00,1534532400,6484.52,6513.0,6512.99,6500.06,288.79433232999963
